ComplaintId,CaseDisposition,WebsiteDocumentFileName,ClosedDate,totalPosted,totalClosedCase,LastPublishDate
201408246,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408246_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201408251,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408251_RedactedClosingReport.pdf,07/21/2015,2642,14475,02/01/2024
201408376,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408376_RedactedClosingReport.pdf,04/28/2015,2642,14475,02/01/2024
201408382,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408382_RedactedClosingReport.pdf,04/14/2015,2642,14475,02/01/2024
201408412,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408412_RedactedClosingReport.pdf,07/29/2015,2642,14475,02/01/2024
201408507,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408507_RedactedClosingReport.pdf,06/22/2015,2642,14475,02/01/2024
201408513,Substantiated (Formalized Training),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408513_RedactedClosingReport.pdf,09/01/2015,2642,14475,02/01/2024
201408517,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408517_RedactedClosingReport.pdf,04/10/2015,2642,14475,02/01/2024
201408586,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408586_RedactedClosingReport.pdf,08/03/2015,2642,14475,02/01/2024
201408617,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408617_RedactedClosingReport.pdf,07/29/2015,2642,14475,02/01/2024
201408712,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408712_RedactedClosingReport.pdf,06/30/2015,2642,14475,02/01/2024
201408836,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408836_RedactedClosingReport.pdf,07/01/2015,2642,14475,02/01/2024
201408837,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408837_RedactedClosingReport.pdf,06/03/2015,2642,14475,02/01/2024
201408861,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408861_RedactedClosingReport.pdf,02/25/2015,2642,14475,02/01/2024
201408916,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408916_RedactedClosingReport.pdf,06/30/2015,2642,14475,02/01/2024
201408975,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408975_RedactedClosingReport.pdf,07/29/2015,2642,14475,02/01/2024
201408993,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408993_RedactedClosingReport.pdf,09/04/2015,2642,14475,02/01/2024
201409178,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201409178_RedactedClosingReport.pdf,10/28/2015,2642,14475,02/01/2024
201409247,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201409247_RedactedClosingReport.pdf,05/15/2015,2642,14475,02/01/2024
201409314,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201409314_RedactedClosingReport.pdf,03/11/2015,2642,14475,02/01/2024
201409329,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201409329_RedactedClosingReport.pdf,06/30/2015,2642,14475,02/01/2024
201409359,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201409359_RedactedClosingReport.pdf,07/28/2015,2642,14475,02/01/2024
201409378,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201409378_RedactedClosingReport.pdf,07/07/2015,2642,14475,02/01/2024
201409395,Exonerated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201409395_RedactedClosingReport.pdf,02/26/2015,2642,14475,02/01/2024
201409418,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201409418_RedactedClosingReport.pdf,01/30/2015,2642,14475,02/01/2024
201409498,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201409498_RedactedClosingReport.pdf,07/28/2015,2642,14475,02/01/2024
201409570,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201409570_RedactedClosingReport.pdf,08/03/2015,2642,14475,02/01/2024
201409661,Substantiated (Formalized Training),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201409661_RedactedClosingReport.pdf,07/28/2015,2642,14475,02/01/2024
